index,Format,Year,Units,Revenue,Revenue_Inf_Adj
0,8 - Track,1973,91000000.0,489000000,2699600000
1,8 - Track,1974,96700000.0,549200000,2730600000
2,8 - Track,1975,94600000.0,583000000,2656200000
3,8 - Track,1976,106100000.0,678200000,2921600000
4,8 - Track,1977,127300000.0,811000000,3280400000
5,8 - Track,1978,133600000.0,948000000,3564000000
6,8 - Track,1979,102300000.0,684300000,2310400000
7,8 - Track,1980,85000000.0,527000000,1567700000
8,8 - Track,1981,50000000.0,313000000,844000000
9,8 - Track,1982,13700000.0,36000000,91400000
46,Cassette,1973,15000000.0,76000000,419600000
47,Cassette,1974,15300000.0,87200000,433600000
48,Cassette,1975,16200000.0,98800000,450100000
49,Cassette,1976,21800000.0,145700000,627700000
50,Cassette,1977,36900000.0,249600000,1009600000
51,Cassette,1978,61300000.0,449800000,1691000000
52,Cassette,1979,78500000.0,580600000,1960300000
53,Cassette,1980,99000000.0,705000000,2097200000
54,Cassette,1981,124000000.0,1062800000,2865900000
55,Cassette,1982,183200000.0,1384500000,3516800000
56,Cassette,1983,236800000.0,1810900000,4456700000
57,Cassette,1984,332000000.0,2383900000,5624100000
58,Cassette,1985,339100000.0,2411500000,5493600000
59,Cassette,1986,344500000.0,2499500000,5590100000
60,Cassette,1987,410000000.0,2959700000,6386300000
61,Cassette,1988,450100000.0,3385100000,7014000000
62,Cassette,1989,446200000.0,3345800000,6613900000
63,Cassette,1990,442200000.0,3472400000,6512300000
64,Cassette,1991,360100000.0,3019600000,5434400000
65,Cassette,1992,366400000.0,3116300000,5444500000
66,Cassette,1993,339500000.0,2915800000,4946200000
67,Cassette,1994,345400000.0,2976400000,4922900000
68,Cassette,1995,272600000.0,2303600000,3705100000
69,Cassette,1996,225300000.0,1905300000,2976600000
70,Cassette,1997,172600000.0,1522700000,2325500000
71,Cassette,1998,158500000.0,1419900000,2135300000
72,Cassette,1999,123600000.0,1061600000,1561900000
73,Cassette,2000,76000000.0,626000000,891100000
74,Cassette,2001,45000000.0,363400000,503000000
75,Cassette,2002,31100000.0,209800000,285900000
76,Cassette,2003,17200000.0,108100000,144000000
77,Cassette,2004,5200000.0,23700000,30800000
78,Cassette,2005,2500000.0,13100000,16400000
79,Cassette,2006,700000.0,3700000,4500000
80,Cassette,2007,400000.0,3000000,3500000
81,Cassette,2008,100000.0,900000,1000000
106,Cassette Single,1987,5100000.0,14300000,30900000
107,Cassette Single,1988,22500000.0,57300000,118700000
108,Cassette Single,1989,76200000.0,194600000,384700000
109,Cassette Single,1990,87400000.0,257900000,483700000
110,Cassette Single,1991,69000000.0,230400000,414700000
111,Cassette Single,1992,84600000.0,298800000,522000000
112,Cassette Single,1993,85600000.0,298500000,506400000
113,Cassette Single,1994,81100000.0,274900000,454700000
114,Cassette Single,1995,70700000.0,236300000,380100000
115,Cassette Single,1996,59900000.0,189300000,295700000
116,Cassette Single,1997,42200000.0,133500000,203900000
117,Cassette Single,1998,26400000.0,94400000,142000000
118,Cassette Single,1999,14200000.0,48000000,70600000
119,Cassette Single,2000,1300000.0,4600000,6500000
148,CD,1983,800000.0,17200000,42300000
149,CD,1984,5800000.0,103300000,243700000
150,CD,1985,22600000.0,389500000,887300000
151,CD,1986,53000000.0,930100000,2080200000
152,CD,1987,102100000.0,1593600000,3438600000
153,CD,1988,149700000.0,2089900000,4330300000
154,CD,1989,207200000.0,2587700000,5115300000
155,CD,1990,286500000.0,3451600000,6473300000
156,CD,1991,333300000.0,4337700000,7806600000
157,CD,1992,407500000.0,5326500000,9306000000
158,CD,1993,495400000.0,6511400000,11045500000
159,CD,1994,662100000.0,8464500000,14000100000
160,CD,1995,722900000.0,9377400000,15082600000
161,CD,1996,778900000.0,9934700000,15520700000
162,CD,1997,753100000.0,9915100000,15142600000
163,CD,1998,847000000.0,11416000000,17167400000
164,CD,1999,938900000.0,12816300000,18856700000
165,CD,2000,942500000.0,13214500000,18810300000
166,CD,2001,881900000.0,12909400000,17867600000
167,CD,2002,803300000.0,12044100000,16410500000
168,CD,2003,746000000.0,11232900000,14964200000
169,CD,2004,767000000.0,11446500000,14853200000
170,CD,2005,705400000.0,10520200000,13203800000
171,CD,2006,619700000.0,9372600000,11395900000
172,CD,2007,499700000.0,7452300000,8811900000
173,CD,2008,368400000.0,5471300000,6229000000
174,CD,2009,296600000.0,4318800000,4934500000
175,CD,2010,253000000.0,3389400000,3810100000
176,CD,2011,240800000.0,3100700000,3378900000
177,CD,2012,198200000.0,2485600000,2718500000
178,CD,2013,173800000.0,2140900000,2307700000
179,CD,2014,138700000.0,1776200000,1884100000
180,CD,2015,117100000.0,1445000000,1530900000
181,CD,2016,97600000.0,1130800000,1183100000
182,CD,2017,87700000.0,1057300000,1083100000
183,CD,2018,52000000.0,698400000,698400000
199,CD Single,1988,1600000.0,9800000,20300000
201,CD Single,1990,1100000.0,6000000,11300000
202,CD Single,1991,5700000.0,35100000,63200000
203,CD Single,1992,7300000.0,45100000,78800000
204,CD Single,1993,7800000.0,45800000,77700000
205,CD Single,1994,9300000.0,56100000,92800000
206,CD Single,1995,21500000.0,110900000,178400000
207,CD Single,1996,43200000.0,184100000,287600000
208,CD Single,1997,66700000.0,272700000,416500000
209,CD Single,1998,56000000.0,213200000,320600000
210,CD Single,1999,55900000.0,222400000,327200000
211,CD Single,2000,34200000.0,142700000,203100000
212,CD Single,2001,17300000.0,79400000,109900000
213,CD Single,2002,4500000.0,19600000,26700000
214,CD Single,2003,8300000.0,36000000,48000000
215,CD Single,2004,3100000.0,15000000,19500000
216,CD Single,2005,2800000.0,10900000,13700000
217,CD Single,2006,1700000.0,7700000,9400000
218,CD Single,2007,2600000.0,12200000,14400000
219,CD Single,2008,700000.0,3500000,4000000
220,CD Single,2009,900000.0,3100000,3500000
221,CD Single,2010,1000000.0,2900000,3300000
222,CD Single,2011,1300000.0,3500000,3800000
223,CD Single,2012,1100000.0,3200000,3500000
224,CD Single,2013,600000.0,2400000,2600000
